All Packages,I9500-sysconf,slp-basefw,slp-sensorfw,slp-netfw,slp-winfw,slp-mmfw,slp-uifw,slp-api,slp-appfw,slp-apps
gstreamer0.10-plugins-extension-secrtspsrc,,,,,,x,,,,
gstreamer0.10-plugins-extension-voicecalldata,,,,,,x,,,,
gstreamer0.10-plugins-extension-vt,,,,,,x,,,,
heynoti,,x,,,,,,,,
hibernation,,x,,,,,,,,
icu,,x,,,,,,,,
image-editor,,,,,,,,,,x
image-editor-engine,,,,,,x,,,,
image-viewer,,,,,,,,,,x
image-viewer-ext-engine,,,,,,x,,,,
ims-msrp,,,,x,,,,,,
ims-service,,,,x,,,,,,
ims-util,,,,x,,,,,,
indicator,,,,,,,,,,x
iniparser,,x,,,,,,,,
initscripts,,x,,,,,,,,
insserv,,x,,,,,,,,
iptables,,x,,,,,,,,
iptables-ipv6,,x,,,,,,,,
ise-chinese-hongkong,,,,,,,x,,,
ise-chinese-taiwan,,,,,,,x,,,
ise-engine-hangul,,,,,,,x,,,
ise-engine-wnn,,,,,,,x,,,
ise-engine-xt9,,,,,,,x,,,
ise-engine-xt9-chinese,,,,,,,x,,,
ise-handwriting,,,,,,,x,,,
ise-hebrew,,,,,,,x,,,
ise-moakey-chinese,,,,,,,x,,,
ise-moakey-indic,,,,,,,x,,,
ise-moakey-korean,,,,,,,x,,,
ise-moakey-thai,,,,,,,x,,,
ise-multilingual,,,,,,,x,,,
ise-urdu,,,,,,,x,,,
ise-vietnamese,,,,,,,x,,,
ise-western-europe-1-us,,,,,,,x,,,
isf,,,,,,,x,,,
json-glib,,x,,,,,,,,
kbd,,x,,,,,,,,
keystrings,,x,,,,,,,,
kies-config,,,,x,,,,,,
lcms,,x,,,,,,,,
libaccounts-svc,,x,,,,,,,,
libalarm,,x,,,,,,,,
libapp-bnr,,x,,,,,,,,
libasound,,x,,,,,,,,
libasound-plugins-pulse,,x,,,,,,,,
libasound-plugins-speex,,x,,,,,,,,
libbing,,x,,,,,,,,
libbmm,,x,,,,,,,,
libbom-c210,x,,,,,,,,,
libbookmark-service,,,,,,x,,,,
libcamsrcjpegenc,,,,,,x,,,,
libcamsrcjpegenc-sw-libjpeg,x,,,,,,,,,
libdaemon,,x,,,,,,,,
libdecarta,,,,x,,,,,,
libdevman,,x,,,,,,,,
libdlog,,x,,,,,,,,
libdmx,,,,,x,,,,,
libdownload-agent,,,,x,,,,,,
libdri2,,,,,x,,,,,
libdrm,,,,,x,,,,,
libdrm-slp,,,,,x,,,,,
libdrm-slp-ump,,,,,x,,,,,
libeas-common,,x,,,,,,,,
libexif,,,,,,x,,,,
libface-recognition-engine,,,,,,x,,,,
libffi,,x,,,,,,,,
libflashplayer10,,,,,,x,,,,
libfontenc,,x,,,,,,,,
libfuse,,x,,,,,,,,
libgcrypt,,x,,,,,,,,
libgeoclue,,,,x,,,,,,
libgoogle,,x,,,,,,,,
libgpg-error,,x,,,,,,,,
libgphoto2,,,,,,x,,,,
libgphoto2-port,,,,,,x,,,,
libgudev1,,x,,,,,,,,
libhangul,,x,,,,,,,,
libhangul-data,,x,,,,,,,,
libice,,x,,,,,,,,
libicu,,x,,,,,,,,
libiri,,x,,,,,,,,
libjava-parser,,x,,,,,,,,
libjpeg,,,,,,x,,,,
libjpeg-turbo,,,,,,x,,,,
libleveldb,,x,,,,,,,,
liblvve-nxp,,x,,,,,,,,
libmdm,,x,,,,,,,,
libmdm-common,,x,,,,,,,,
libmedia-plugin,,,,,,x,,,,
libmedia-server,,,,,,x,,,,
libmedia-service,,,,,,x,,,,
libmedia-thumbnail,,,,,,x,,,,
libmission-control-plugins0,,x,,,,,,,,
libmm-camcorder,,,,,,x,,,,
libmm-common,,,,,,x,,,,
libmm-divxsdk,,,,,,x,,,,
libmm-fileinfo,,,,,,x,,,,
libmm-imgp-gstcs,,,,,,x,,,,
libmm-imgp-savs,,,,,,x,,,,
libmm-log,,,,,,x,,,,
libmm-media-call,,,,,,x,,,,
libmm-player,,,,,,x,,,,
libmm-radio,,,,,,x,,,,
libmm-session,,,,,,x,,,,
libmm-sound,,,,,,x,,,,
libmm-sound-tool,,,,,,x,,,,
libmm-ta,,,,,,x,,,,
libmm-utility,,,,,,x,,,,
libmobile-ap,,,,x,,,,,,
libnet-client,,,,x,,,,,,
libnice,,x,,,,,,,,
libnl2,,x,,,,,,,,
liboauth,,x,,,,,,,,
libogg,,,,,,x,,,,
liboil,,x,,,,,,,,
libomxil-s5pc2xx,x,,,,,,,,,
libpcap,,,,x,,,,,,
libpci3,,x,,,,,,,,
libpciaccess,,,,,,x,,,,
libpdr,,x,,,,,,,,
libpng,,,,,,x,,,,
libprivilege-control,,x,,,,,,,,
libpthread-stubs,,x,,,,,,,,
libpush,,,,x,,,,,,
librua,,x,,,,,,,,
libsavscodec,,,,,,x,,,,
libsavscodec-neon,,,,,,x,,,,
libsecrtp,,,,x,,,,,,
libsecrtsp,,,,x,,,,,,
libsf-common,,,x,,,,,,,
libslp-alarm,,x,,,,,,,,
libslp-calendar,,x,,,,,,,,
libslp-db-util,,x,,,,,,,,
libslp-lbsplugin-brcm,,,,x,,,,,,
libslp-lbsplugin-csr,,,,x,,,,,,
libslp-lbsplugin-replay,,,,x,,,,,,
libslp-location,,,,x,,,,,,
libslp-memo,,x,,,,,,,,
libslp-mss,,x,,,,,,,,
libslp-pm,,x,,,,,,,,
libslp-tapi,,x,,,,,,,,
libslp-telplugin,,x,,,,,,,,
libslp-utilx,,x,,,,,,,,
libsm,,x,,,,,,,,
libsndfile,,x,,,,,,,,
libsofia-sip-ua-glib3,,,,x,,,,,,
